horizon,actual,prediction
1,0.3200401,0.33001035
1,0.026022436,0.02772296
1,0.00080672,0.0036927983
1,-0.01879001,-0.016491102
1,0.005004151,0.009262962
1,0.85656613,0.8777881
1,0.28285018,0.2940914
1,-0.023514217,-0.019926686
1,-0.28272325,-0.2738517
1,-0.22980486,-0.22170067
1,-0.040307105,-0.037707124
1,0.38597748,0.39361918
1,-0.05065981,-0.045518342
1,2.3394308,2.402134
1,0.22170539,0.22651893
1,0.053357057,0.053180028
1,0.019572433,0.01080969
1,0.038816445,0.039293014
1,0.04433694,0.04126261
1,0.36690998,0.37285033
1,0.24946104,0.2575857
1,0.62036586,0.6265308
1,0.07117155,0.07115838
1,0.11504906,0.117434606
1,0.15429464,0.15864205
1,-0.029410861,-0.025345966
1,-0.0977731,-0.09335885
1,-0.05869373,-0.055647373
1,0.18509765,0.19029333
1,0.021314966,0.016170807
1,0.17890541,0.18238707
1,0.1378557,0.14087342
1,0.15084225,0.1542762
1,1.2361594,1.2508566
1,0.1837784,0.20009267
1,0.029961865,0.030665046
1,-0.07276777,-0.067399606
1,0.058963988,0.06811671
1,0.3023938,0.3126795
1,-0.049402814,-0.047705647
1,0.03801509,0.033688817
1,0.21904875,0.23190503
1,0.34135205,0.34896526
1,-0.36243746,-0.3523197
1,0.26976305,0.27999288
1,-0.009790506,-0.010709876
1,-0.18918356,-0.1797365
1,0.00825689,0.0074068923
1,0.043044705,0.04467508
1,-0.16525285,-0.15676655
1,0.13930419,0.14285225
1,0.17613697,0.17963342
1,1.098885,1.1349828
1,0.04564831,0.046067398
1,0.14576212,0.1527398
1,-0.16795468,-0.15911067
1,0.27922067,0.28788802
1,0.28843397,0.30253622
1,-0.060667798,-0.05230924
1,0.3909573,0.39919528
1,-0.09286384,-0.089541614
1,1.1134976,1.1633246
1,0.16752338,0.17141506
1,-0.028849604,-0.02631162
1,0.10058498,0.10084249
1,-0.29510552,-0.27299547
1,0.052342545,0.0540254
1,-0.04001272,-0.033284616
1,0.21304454,0.21939676
1,0.011366844,0.012651041
1,0.9530633,0.97928536
1,1.0980576,1.1410202
1,-0.07417249,-0.0679738
1,-0.23116624,-0.2217516
1,-0.11347146,-0.10717994
1,0.17839015,0.18016653
1,-0.031241886,-0.028765786
1,0.14479594,0.14715447
1,0.00026058,0.0028138245
1,-0.038508836,-0.03256308
1,0.07512261,0.07503925
1,-0.079347044,-0.07488671
1,0.5894163,0.6077324
1,-0.016378962,-0.020949952
1,0.15074323,0.15850653
1,0.14981525,0.16160871
1,-0.1287796,-0.121704385
1,0.051692106,0.04885328
1,-0.1183165,-0.113300964
1,0.21257046,0.21877122
1,1.8990117,1.9375528
1,0.18867832,0.19156054
1,0.02517677,0.022404687
1,-0.20350467,-0.1904896
1,0.5858744,0.6128868
1,-0.0426411,-0.035561312
1,1.336546,1.3518181
1,1.0272388,1.0513924
1,-0.088513345,-0.081112936
1,0.02062697,0.020603724
1,-0.1537989,-0.15485659
1,0.14527872,0.14906563
1,0.17473903,0.18246974
1,-0.112445794,-0.10126588
1,0.2542987,0.25843
1,-0.032712884,-0.02719666
1,-0.057482794,-0.04595597
1,0.29008973,0.29211423
1,0.19488426,0.19849926
1,0.1683164,0.17713545
1,0.32206398,0.36649397
1,0.43257672,0.45492727
1,0.18175696,0.18474056
1,-0.014298438,-0.010640988
1,0.35624167,0.36718443
1,0.53287953,0.55811566
1,0.08633984,0.08489759
1,-0.026354661,-0.022296883
1,-0.073133364,-0.06649469
1,0.40616864,0.40643147
1,-0.04121294,-0.035305478
1,-0.27221093,-0.26172817
1,-0.34757403,-0.3345542
1,0.20078138,0.20554022
1,-0.07949811,-0.07290078
1,0.19971481,0.20391728
1,0.000301147,0.00022943132
1,1.3722311,1.4226856
1,0.61760086,0.62093306
1,-0.09817433,-0.09206261
1,0.012646969,0.015193816
1,-0.10055779,-0.09323627
1,1.2243146,1.2674348
1,0.047838323,0.046570953
1,1.017083,1.0211632
1,-0.12559578,-0.117554545
1,0.060590196,0.060320646
1,0.39831826,0.4208117
1,-0.21930695,-0.20810072
1,0.026266588,0.02656475
1,0.01332124,0.017187675
1,0.11918551,0.12154149
1,-0.10562835,-0.0992772
1,0.010075875,0.013440559
1,0.14022613,0.14375633
1,0.79581344,0.8211843
1,-0.10573636,-0.10220033
1,0.25573736,0.26793435
1,0.113326475,0.115481906
1,-0.07117418,-0.06414969
1,0.024857238,0.025861342
1,-0.18938443,-0.18261161
1,0.25199467,0.25844383
1,0.06257581,0.061162703
1,0.21658692,0.22147161
1,-0.21436192,-0.20218432
1,0.17483029,0.18150207
1,0.24245462,0.24920052
1,-0.073659286,-0.069453366
1,0.13782212,0.13770527
1,0.046769433,0.04749813
1,-0.028639084,-0.024187207
1,-0.10581453,-0.09745827
1,0.002600494,0.0048747268
1,0.07596832,0.09029134
1,-0.14318809,-0.13865149
1,0.11575071,0.1149537
1,1.0568097,1.0760298
1,0.2023846,0.2057314
1,0.005964772,0.007913505
1,-0.069676615,-0.06714518
1,-0.001513698,0.00081031397
1,0.03506553,0.037834812
1,-0.15723014,-0.14934848
1,0.52524596,0.5493609
1,2.5001118,2.545615
1,0.027363371,0.024613786
1,0.20700791,0.21693695
1,-0.051007103,-0.06932275
1,0.23410845,0.24046928
1,-0.040714577,-0.036034435
1,1.7201232,1.7837726
1,0.13429072,0.13560057
